Timestamp[nanosec],gx[rad/s],gy[rad/s],gz[rad/s],ax[m/s^2],ay[m/s^2],az[m/s^2],Unix time[nanosec]
961749535523223,-0.002396843,0.005992107,5.3263176E-4,0.34015796,0.3569263,-9.569338,1657487981039000000
961749538029889,-0.0013315794,-3.9947382E-4,-0.0026631588,0.34015796,0.3569263,-9.569338,1657487981041000000
961749540536608,0.0018642112,-0.0025300009,-0.0015978953,0.27308455,0.28506196,-9.786728,1657487981046000000
961749543043275,7.9894764E-4,-3.9947382E-4,-5.3263176E-4,0.26350263,0.28506196,-10.462852,1657487981046000000
961749545549993,-0.00452737,0.005992107,-5.3263176E-4,0.32578507,0.3569263,-9.744207,1657487981047000000
961749548056660,-0.002396843,0.0027963168,5.3263176E-4,0.32578507,0.3569263,-9.744207,1657487981050000000
961749550563379,-2.6631588E-4,-0.007856319,5.3263176E-4,0.31141222,0.30422577,-9.716061,1657487981053000000
961749553070098,0.0050600017,-0.004660528,0.0015978953,0.23954785,0.31859866,-10.391586,1657487981053000000
961749555576764,-0.0013315794,0.0049268436,0.0015978953,0.32518622,0.30422577,-9.772355,1657487981057000000
961749558083483,-0.002396843,0.0038615803,0.0015978953,0.35872293,0.33776248,-9.021372,1657487981063000000
961749560590150,7.9894764E-4,-0.0025300009,5.3263176E-4,0.3018303,0.28985292,-9.692106,1657487981064000000
961749563096868,0.0018642112,-0.0025300009,0.0015978953,0.36351386,0.29464385,-9.781937,1657487981064000000
961749565603535,-0.0013315794,-3.9947382E-4,0.0015978953,0.36351386,0.29464385,-9.781937,1657487981066000000
961749568110254,-0.0013315794,0.0049268436,-0.0026631588,0.40184152,0.3138077,-9.026163,1657487981070000000
961749570616921,-0.0013315794,-0.0014647373,-0.0015978953,0.3012314,0.37129918,-9.692106,1657487981071000000
961749573123639,7.9894764E-4,-0.0025300009,-5.3263176E-4,0.3012314,0.37129918,-9.692106,1657487981080000000
961749575630306,7.9894764E-4,0.005992107,5.3263176E-4,0.3012314,0.2994348,-9.876558,1657487981080000000
961749578137025,-0.0013315794,0.0027963168,5.3263176E-4,0.33955908,0.30422577,-9.063892,1657487981081000000
961749580643691,0.0018642112,-0.006791055,0.0015978953,0.33476812,0.3329715,-9.616649,1657487981085000000
961749583150410,0.0018642112,-0.007856319,0.0015978953,0.26350263,0.28506196,-10.250253,1657487981086000000
961749585657077,-0.0013315794,0.0017310532,-5.3263176E-4,0.29164952,0.28506196,-9.952016,1657487981087000000
961749588163796,-0.002396843,0.0038615803,0.0026631588,0.36351386,0.27548003,-9.087248,1657487981090000000
961749590670462,0.0018642112,-0.0025300009,0.0026631588,0.36351386,0.27548003,-9.087248,1657487981093000000
961749593177181,0.0018642112,-0.0057257917,0.0015978953,0.2347569,0.31859866,-10.23588,1657487981094000000
961749595683848,-2.6631588E-4,6.657897E-4,-5.3263176E-4,0.2347569,0.31859866,-10.23588,1657487981098000000
961749598190566,-0.0034621065,0.0017310532,0.0037284223,0.35393196,0.31859866,-9.101621,1657487981100000000
961749600697233,-2.6631588E-4,-0.0035952644,-5.3263176E-4,0.35393196,0.31859866,-9.101621,1657487981103000000
961749603203952,7.9894764E-4,-0.004660528,-5.3263176E-4,0.36830482,0.3329715,-9.460942,1657487981107000000
961749605710618,-0.0013315794,0.0017310532,-5.3263176E-4,0.2820676,0.2658981,-10.131677,1657487981107000000
961749608217337,-0.0034621065,0.0017310532,-5.3263176E-4,0.32039526,0.36650822,-9.201033,1657487981110000000
961749610724004,-2.6631588E-4,-3.9947382E-4,0.0015978953,0.29644048,0.35213536,-9.427405,1657487981112000000
961749613230723,0.0018642112,-0.004660528,5.3263176E-4,0.29644048,0.35213536,-9.427405,1657487981116000000
961749615737389,-2.6631588E-4,0.0027963168,5.3263176E-4,0.3156043,0.280271,-10.188569,1657487981116000000
961749618244108,-0.0013315794,0.0070573706,-5.3263176E-4,0.35393196,0.30422577,-9.248343,1657487981120000000
961749620750775,7.9894764E-4,-0.0035952644,5.3263176E-4,0.32997715,0.3233896,-9.474716,1657487981121000000
961749623257493,0.0029294747,-0.0025300009,-0.0015978953,0.24373995,0.3329715,-9.980762,1657487981125000000
961749625764160,7.9894764E-4,0.0027963168,-5.3263176E-4,0.24373995,0.3329715,-9.980762,1657487981131000000
961749628270879,-0.002396843,0.005992107,-5.3263176E-4,0.27727664,0.30422577,-10.117903,1657487981133000000
961749630777546,-2.6631588E-4,0.0017310532,0.0015978953,0.33955908,0.2994348,-9.380694,1657487981134000000
961749633284264,0.0018642112,-0.0025300009,5.3263176E-4,0.32997715,0.30422577,-9.545982,1657487981134000000
961749635790931,-0.0013315794,6.657897E-4,-0.0026631588,0.29644048,0.27068907,-10.0801735,1657487981139000000
961749638297650,-0.002396843,0.0038615803,5.3263176E-4,0.33955908,0.2994348,-9.503462,1657487981139000000
961749640804316,7.9894764E-4,0.0017310532,-5.3263176E-4,0.33955908,0.2994348,-9.503462,1657487981142000000
961749643311035,7.9894764E-4,-0.0025300009,5.3263176E-4,0.29644048,0.30901673,-9.871767,1657487981146000000
961749645817702,-2.6631588E-4,-3.9947382E-4,-5.3263176E-4,0.29644048,0.32818055,-10.032863,1657487981147000000
961749648324421,7.9894764E-4,0.0017310532,-0.0037284223,0.29644048,0.32818055,-10.032863,1657487981151000000
961749650831087,0.003994738,6.657897E-4,-0.0026631588,0.36351386,0.34255344,-9.413631,1657487981154000000
961749653337806,-2.6631588E-4,-3.9947382E-4,5.3263176E-4,0.29164952,0.3329715,-9.862784,1657487981154000000
961749655844473,0.0018642112,6.657897E-4,-0.0015978953,0.23415802,0.3138077,-9.938242,1657487981156000000
961749658351191,7.9894764E-4,0.0017310532,-0.0015978953,0.29644048,0.28506196,-9.517237,1657487981159000000
961749660857858,-0.0013315794,6.657897E-4,5.3263176E-4,0.33476812,0.32818055,-9.441779,1657487981165000000
961749663364577,7.9894764E-4,-0.004660528,5.3263176E-4,0.33476812,0.32818055,-9.441779,1657487981165000000
961749665871243,7.9894764E-4,-3.9947382E-4,-0.0015978953,0.25811282,0.30422577,-9.919078,1657487981167000000
961749668377962,-0.0013315794,0.0049268436,-0.0015978953,0.32518622,0.28506196,-9.517237,1657487981170000000
961749670884629,0.0029294747,0.0027963168,-5.3263176E-4,0.32518622,0.28506196,-9.517237,1657487981175000000
961749673391348,0.0029294747,-3.9947382E-4,0.0026631588,0.27248567,0.29464385,-9.909496,1657487981175000000
961749675898066,7.9894764E-4,0.0038615803,0.0026631588,0.3012314,0.3329715,-9.938242,1657487981178000000
961749678404733,-0.0013315794,-3.9947382E-4,-5.3263176E-4,0.31081334,0.3138077,-9.5364,1657487981180000000
961749680911452,0.0029294747,6.657897E-4,5.3263176E-4,0.31081334,0.3138077,-9.5364,1657487981182000000
961749683418118,0.0018642112,-0.0014647373,0.0026631588,0.30602238,0.3473444,-9.522027,1657487981186000000
961749685924837,-0.002396843,6.657897E-4,-5.3263176E-4,0.32518622,0.30901673,-9.900513,1657487981188000000
961749688431504,0.0029294747,0.0038615803,-0.004793686,0.349141,0.32818055,-9.574129,1657487981190000000
961749690938223,0.0029294747,-0.0014647373,-0.0015978953,0.349141,0.32818055,-9.574129,1657487981191000000
961749693444889,-2.6631588E-4,-0.0035952644,0.0015978953,0.3156043,0.34255344,-9.574129,1657487981194000000
961749695951608,-0.0013315794,0.0017310532,5.3263176E-4,0.29644048,0.3233896,-9.84362,1657487981197000000
961749698458275,-2.6631588E-4,0.0027963168,0.0015978953,0.32518622,0.30422577,-9.602875,1657487981199000000
961749700964993,-2.6631588E-4,-3.9947382E-4,0.0015978953,0.32518622,0.30422577,-9.602875,1657487981200000000
961749703471660,0.0029294747,-0.0035952644,0.0037284223,0.28685856,0.2994348,-9.876558,1657487981206000000
961749705978379,-2.6631588E-4,0.0027963168,0.0015978953,0.32518622,0.2994348,-9.88614,1657487981209000000
961749708485046,7.9894764E-4,0.0027963168,-5.3263176E-4,0.29164952,0.31859866,-9.569338,1657487981209000000
961749710991764,0.0018642112,-0.0035952644,-5.3263176E-4,0.2820676,0.3138077,-9.489089,1657487981212000000
961749713498431,7.9894764E-4,-0.0025300009,0.0015978953,0.32997715,0.28985292,-9.928659,1657487981214000000
961749716005150,7.9894764E-4,0.0017310532,-5.3263176E-4,0.32997715,0.35213536,-9.923869,1657487981216000000
961749718511816,7.9894764E-4,6.657897E-4,-5.3263176E-4,0.32997715,0.35213536,-9.923869,1657487981220000000
961749721018535,7.9894764E-4,0.0017310532,-5.3263176E-4,0.34435004,0.3569263,-9.554965,1657487981223000000
961749723525202,7.9894764E-4,-3.9947382E-4,0.0015978953,0.33476812,0.29464385,-9.876558,1657487981225000000
961749726031921,7.9894764E-4,-0.0014647373,5.3263176E-4,0.32518622,0.3233896,-9.890931,1657487981228000000
961749728538587,-2.6631588E-4,6.657897E-4,-5.3263176E-4,0.3012314,0.33776248,-9.616649,1657487981237000000
961749731045306,0.0018642112,-0.0014647373,-5.3263176E-4,0.3012314,0.33776248,-9.616649,1657487981237000000
961749733551973,0.0018642112,-0.0025300009,0.0015978953,0.30602238,0.34255344,-9.853202,1657487981237000000
961749736058691,-0.0034621065,0.0027963168,-5.3263176E-4,0.30602238,0.34255344,-9.853202,1657487981237000000
961749738565358,-0.0034621065,-3.9947382E-4,0.0026631588,0.32039526,0.30901673,-9.611857,1657487981241000000
961749741072077,-0.0013315794,-0.0014647373,0.004793686,0.33955908,0.32818055,-9.465734,1657487981241000000
961749743578743,-2.6631588E-4,-0.0025300009,-5.3263176E-4,0.26290378,0.2994348,-9.876558,1657487981244000000
961749746085462,-2.6631588E-4,6.657897E-4,-5.3263176E-4,0.27727664,0.3329715,-9.876558,1657487981247000000
961749748592129,-0.0013315794,0.0038615803,-0.0015978953,0.27727664,0.3329715,-9.876558,1657487981249000000
961749751098848,7.9894764E-4,-0.0014647373,-5.3263176E-4,0.34435004,0.30422577,-9.451361,1657487981252000000
961749753605514,-0.0013315794,-0.0057257917,-5.3263176E-4,0.34435004,0.30422577,-9.451361,1657487981255000000
961749756112233,-0.002396843,-3.9947382E-4,-5.3263176E-4,0.29164952,0.28985292,-9.914287,1657487981259000000
961749758618900,-0.00452737,0.0049268436,-5.3263176E-4,0.26769474,0.3233896,-9.588502,1657487981263000000
961749761125618,-2.6631588E-4,0.0027963168,5.3263176E-4,0.32997715,0.280271,-9.427405,1657487981263000000
961749763632285,0.0018642112,-0.0014647373,0.0015978953,0.31081334,0.30901673,-9.819665,1657487981265000000
961749766139004,7.9894764E-4,-0.0025300009,-0.0015978953,0.31081334,0.30901673,-9.819665,1657487981269000000
961749768645671,7.9894764E-4,0.0027963168,-0.0015978953,0.27248567,0.34255344,-9.980762,1657487981269000000
961749771152389,-2.6631588E-4,0.0017310532,-5.3263176E-4,0.3012314,0.27548003,-9.394468,1657487981276000000
961749773659056,-2.6631588E-4,-0.0025300009,5.3263176E-4,0.2820676,0.30422577,-9.744207,1657487981276000000
961749776165775,7.9894764E-4,6.657897E-4,-5.3263176E-4,0.2820676,0.30422577,-9.744207,1657487981278000000
961749778672441,-0.0013315794,0.0038615803,0.0015978953,0.30602238,0.2994348,-9.706479,1657487981280000000
961749781179160,7.9894764E-4,-3.9947382E-4,0.0026631588,0.37309578,0.3473444,-9.423214,1657487981286000000
961749783685827,0.0018642112,-0.0035952644,-5.3263176E-4,0.37309578,0.3473444,-9.423214,1657487981286000000
961749786192546,0.0029294747,-0.0014647373,-0.0015978953,0.27248567,0.32818055,-10.004117,1657487981290000000
961749788699212,-0.0013315794,6.657897E-4,-5.3263176E-4,0.27248567,0.32818055,-10.004117,1657487981292000000
961749791205931,-0.0013315794,0.0049268436,5.3263176E-4,0.32518622,0.30901673,-9.498672,1657487981292000000
961749793712598,-0.0013315794,0.0017310532,-5.3263176E-4,0.30602238,0.30901673,-9.659168,1657487981296000000
961749796219316,-0.0013315794,6.657897E-4,5.3263176E-4,0.2820676,0.30422577,-9.971179,1657487981305000000
961749798726035,-0.0013315794,-0.0014647373,5.3263176E-4,0.25811282,0.28506196,-9.748999,1657487981305000000
961749801232702,-0.002396843,-0.0014647373,-0.0026631588,0.29644048,0.3233896,-9.465734,1657487981305000000
961749803739421,-2.6631588E-4,-3.9947382E-4,5.3263176E-4,0.32039526,0.30422577,-9.616649,1657487981307000000
961749806246087,7.9894764E-4,-0.0025300009,0.0015978953,0.32997715,0.27068907,-9.928659,1657487981308000000
961749808752806,-0.0013315794,6.657897E-4,0.0015978953,0.32997715,0.27068907,-9.928659,1657487981312000000
961749811259473,-2.6631588E-4,6.657897E-4,0.0026631588,0.29644048,0.34255344,-9.545982,1657487981312000000
961749813766191,-2.6631588E-4,-3.9947382E-4,-5.3263176E-4,0.25811282,0.29464385,-9.659168,1657487981316000000
961749816272858,-0.0034621065,-3.9947382E-4,-0.0015978953,0.25811282,0.29464385,-9.659168,1657487981317000000
961749818779577,7.9894764E-4,-0.0014647373,0.0015978953,0.30602238,0.30422577,-9.791518,1657487981322000000
961749821286243,-2.6631588E-4,-0.0014647373,-5.3263176E-4,0.32039526,0.3138077,-9.489089,1657487981323000000
961749823792962,-2.6631588E-4,-3.9947382E-4,-0.0026631588,0.27727664,0.36650822,-9.607067,1657487981327000000
961749826299629,0.0029294747,-3.9947382E-4,0.0026631588,0.27727664,0.36650822,-9.607067,1657487981327000000
961749828806348,-2.6631588E-4,-3.9947382E-4,0.0015978953,0.29164952,0.30422577,-9.786728,1657487981329000000
961749831313014,-0.002396843,0.0017310532,-5.3263176E-4,0.33955908,0.3329715,-9.583711,1657487981332000000
961749833819733,-2.6631588E-4,-0.0035952644,5.3263176E-4,0.33955908,0.3329715,-9.583711,1657487981337000000
